time_stamp,node,light,sound,temp,smoke,corrected_smoke,label
22:55:34,1,1001,500,698,880,880,fire
22:55:35,1,1001,497,698,801,801,fire
22:55:36,1,1001,493,698,838,838,fire
22:55:37,1,,,,,,fire
22:55:38,1,1002,502,698,797,797,fire
22:55:39,1,,,,,,fire
22:55:40,1,,,,,,fire
22:55:41,1,,,,,,fire
22:55:42,1,1002,499,697,911,911,fire
22:55:43,1,1002,515,697,902,902,fire
22:55:44,1,,,,,,fire
22:55:45,1,,,,,,fire
22:55:46,1,1002,492,696,836,836,fire
22:55:47,1,,,,,,fire
22:55:48,1,1001,494,695,928,928,fire
22:55:49,1,,,,,,fire
22:55:50,1,,,,,,fire
22:55:51,1,1002,507,695,865,865,fire
22:55:52,1,,,,,,fire
22:55:53,1,,,,,,fire
22:55:54,1,,,,,,fire
22:55:55,1,1002,494,694,954,954,fire
22:55:56,1,1002,485,692,924,924,fire
22:55:57,1,1002,502,692,761,761,fire
22:55:58,1,1002,491,691,924,924,fire
22:55:59,1,,,,,,fire
22:56:00,1,1002,504,690,911,911,fire
22:56:01,1,,,,,,fire
22:56:02,1,,,,,,fire
22:56:03,1,,,,,,fire
22:56:04,1,,,,,,fire
22:56:05,1,,,,,,fire
22:56:06,1,1002,497,688,947,947,fire
22:56:07,1,1002,498,688,872,872,fire
22:56:08,1,,,,,,fire
22:56:09,1,,,,,,fire
22:56:10,1,,,,,,fire
22:56:11,1,,,,,,fire
22:56:12,1,,,,,,fire
22:56:13,1,,,,,,fire
22:56:14,1,,,,,,fire
22:56:15,1,,,,,,fire
22:56:16,1,,,,,,fire
22:56:17,1,1001,497,683,759,759,fire
22:56:18,1,1001,487,682,443,443,fire
22:56:19,1,,,,,,fire
22:56:20,1,1002,505,682,637,637,fire
22:56:21,1,,,,,,fire
22:56:22,1,,,,,,fire
22:56:23,1,,,,,,fire
22:56:24,1,,,,,,fire
22:56:25,1,,,,,,fire
22:56:26,1,1002,502,682,339,339,fire
22:56:27,1,1002,502,681,416,416,fire
22:56:28,1,,,,,,fire
22:56:29,1,,,,,,fire
22:56:30,1,1002,489,681,689,689,fire
22:56:31,1,1001,509,682,445,445,fire
22:56:32,1,1002,490,681,421,421,fire
22:56:33,1,1001,482,681,492,492,fire
22:56:34,1,1001,498,680,604,604,fire
22:56:35,1,1002,491,680,589,589,fire
22:56:36,1,1002,478,679,685,685,fire
22:56:37,1,1002,481,680,544,544,fire
22:56:38,1,1002,489,681,562,562,fire
22:56:39,1,1003,466,684,365,365,fire
22:56:40,1,1002,511,686,462,462,fire
22:56:41,1,1002,508,686,582,582,fire
22:56:42,1,1003,507,687,586,586,fire
22:56:43,1,1003,496,689,412,412,fire
22:56:44,1,1002,492,694,466,466,fire
22:56:45,1,1002,504,692,569,569,fire
22:56:46,1,1002,479,691,518,518,fire
22:56:47,1,1002,495,691,458,458,fire
22:56:48,1,1002,491,692,541,541,fire
22:56:49,1,1002,491,693,529,529,fire
22:56:50,1,1002,497,692,521,521,fire
22:56:51,1,1002,492,692,530,530,fire
22:56:52,1,1002,497,692,557,557,fire
