Time_Stamp,node_1,light_1,sound_1,temperature_1,smoke_1,sum 
23:04:15,9,1000,488,573,1,2062
23:04:16,9,1000,489,573,1,2063
23:04:17,9,1000,488,573,1,2062
23:04:18,9,1000,491,572,0,2063
23:04:19,9,1000,488,572,0,2060
23:04:20,9,999,488,572,0,2059
23:04:21,9,999,489,572,1,2061
23:04:22,9,1000,485,572,0,2057
23:04:23,9,999,489,572,0,2060
23:04:24,9,1000,488,572,0,2060
23:04:25,9,999,487,572,1,2059
23:04:26,9,999,489,572,1,2061
23:04:27,9,999,489,572,0,2060
23:04:28,9,999,487,572,0,2058
23:04:29,9,999,486,572,0,2057
23:04:30,9,999,490,571,0,2060
23:04:31,9,999,489,571,1,2060
23:04:32,9,999,488,571,1,2059
23:04:33,9,999,491,571,0,2061
23:04:34,9,999,489,571,0,2059
23:04:35,9,999,491,571,1,2062
23:04:36,9,999,488,571,1,2059
23:04:37,9,999,487,571,1,2058
23:04:38,9,999,491,571,0,2061
23:04:39,9,999,487,571,2,2059
23:04:40,9,999,488,571,0,2058
23:04:41,9,999,488,570,0,2057
23:04:42,9,999,489,570,1,2059
23:04:43,9,999,485,570,1,2055
23:04:44,9,999,490,570,1,2060
23:04:45,9,998,488,569,1,2056
23:04:46,9,998,486,569,1,2054
23:04:47,9,998,489,569,1,2057
23:04:48,9,998,491,569,0,2058
23:04:49,9,998,487,568,0,2053
23:04:50,9,998,488,568,0,2054
23:04:51,9,998,485,568,0,2051
23:04:52,9,998,484,568,1,2051
23:04:53,9,998,487,568,0,2053
23:04:54,9,998,487,567,0,2052
23:04:55,9,998,490,567,0,2055
23:04:56,9,999,488,567,0,2054
23:04:57,9,998,489,567,0,2054
23:04:58,9,998,488,567,1,2054
23:04:59,9,998,485,567,0,2050
23:05:00,9,998,487,567,1,2053
23:05:01,9,998,490,567,1,2056
23:05:02,9,998,487,567,1,2053
23:05:03,9,998,489,567,1,2055
23:05:04,9,998,488,567,1,2054
23:05:05,9,998,487,567,1,2053
23:05:06,9,998,489,567,1,2055
23:05:07,9,998,488,566,0,2052
23:05:08,9,998,489,566,1,2054
23:05:09,9,998,490,566,1,2055
23:05:10,9,998,488,566,0,2052
23:05:11,9,999,488,566,0,2053
23:05:12,9,998,490,566,1,2055
23:05:13,9,998,486,566,0,2050
23:05:14,9,998,488,566,1,2053
23:05:15,9,998,487,566,1,2052
23:05:16,9,998,488,566,0,2052
23:05:17,9,998,487,565,1,2051
23:05:18,9,998,485,565,0,2048
23:05:19,9,998,487,565,1,2051
23:05:20,9,998,488,565,1,2052
23:05:21,9,998,492,565,1,2056
23:05:22,9,998,488,565,0,2051
23:05:23,9,998,489,565,1,2053
23:05:24,9,998,486,564,1,2049
23:05:25,9,998,488,564,1,2051
23:05:26,9,998,488,564,1,2051
23:05:27,9,998,490,564,0,2052
23:05:28,9,998,491,563,1,2053
23:05:29,9,998,491,563,1,2053
23:05:30,9,999,488,563,0,2050
23:05:31,9,998,491,563,0,2052
23:05:32,9,998,489,563,1,2051
23:05:33,9,999,488,563,0,2050
23:05:34,9,998,488,563,0,2049
23:05:35,9,998,487,562,1,2048
23:05:36,9,999,487,562,0,2048
23:05:37,9,998,487,562,1,2048
23:05:38,9,998,489,562,0,2049
23:05:39,9,998,488,562,1,2049
23:05:40,9,998,486,562,0,2046
23:05:41,9,998,489,562,0,2049
23:05:42,9,999,489,562,0,2050
23:05:43,9,998,484,562,1,2045
23:05:44,9,998,485,562,1,2046
23:05:45,9,999,488,562,1,2050
23:05:46,9,998,491,562,0,2051
23:05:47,9,998,490,562,0,2050
23:05:48,9,999,489,561,1,2050
23:05:49,9,998,488,561,1,2048
23:05:50,9,998,489,561,1,2049
23:05:51,9,998,487,561,1,2047
23:05:52,9,998,488,560,0,2046
23:05:53,9,999,489,560,1,2049
23:05:54,9,998,487,560,1,2046
23:05:55,9,998,489,560,1,2048
23:05:56,9,998,489,560,1,2048
23:05:57,9,999,489,560,1,2049
23:05:58,9,999,490,560,0,2049
23:05:59,9,999,489,560,1,2049
23:06:00,9,998,487,560,1,2046
23:06:01,9,998,486,559,0,2043
23:06:02,9,999,491,559,0,2049
23:06:03,9,998,484,559,0,2041
23:06:04,9,999,489,559,1,2048
23:06:05,9,998,490,558,0,2046
23:06:06,9,999,488,558,1,2046
23:06:07,9,998,486,558,1,2043
23:06:08,9,998,485,558,1,2042
