time_stamp,node,light,sound,temp,smoke
23:00:48,1,1002,500,634,970
23:00:49,1,1002,472,633,951
23:00:50,1,1002,490,632,955
23:00:51,1,1002,506,632,977
23:00:52,1,1002,489,632,985
23:00:53,1,1002,479,632,919
23:00:54,1,1002,481,630,976
23:00:55,1,1002,488,629,954
23:00:56,1,1002,477,629,910
23:00:57,1,,,,
23:00:58,1,,,,
23:00:59,1,1002,496,627,197
23:01:00,1,1002,502,626,97
23:01:01,1,1002,485,626,153
23:01:02,1,1002,480,625,132
23:01:03,1,1001,482,625,55
23:01:04,1,1002,510,625,31
23:01:05,1,1003,483,624,152
23:01:06,1,1002,484,624,78
23:01:07,1,1001,489,623,159
23:01:08,1,1001,483,623,71
23:01:09,1,,,,
23:01:10,1,1002,467,623,146
23:01:11,1,1002,447,622,97
23:01:12,1,1002,531,622,108
23:01:13,1,1001,468,622,160
23:01:14,1,1000,497,620,133
23:01:15,1,,,,
23:01:16,1,1002,481,618,143
23:01:17,1,1001,488,618,105
23:01:18,1,1002,491,617,94
23:01:19,1,1002,469,616,3
23:01:20,1,1001,491,615,
23:01:21,1,,,,
23:01:22,1,1000,491,613,2
23:01:23,1,1001,505,612,1
23:01:24,1,1002,490,613,4
23:01:25,1,1000,498,611,3
23:01:26,1,1002,509,611,5
23:01:27,1,1001,492,610,1
23:01:28,1,1002,496,609,
23:01:29,1,,,,
23:01:30,1,1000,499,608,3
23:01:31,1,,,,
23:01:32,1,1001,469,607,1
23:01:33,1,1001,440,607,3
23:01:34,1,1001,497,606,2
23:01:35,1,1000,495,606,2
23:01:36,1,,,,
23:01:37,1,1001,470,605,2
23:01:38,1,1000,474,604,4
23:01:39,1,1001,492,604,2
23:01:40,1,1001,509,604,2
23:01:41,1,1002,472,603,4
23:01:42,1,1001,476,603,
23:01:43,1,1001,492,602,2
23:01:44,1,1001,509,602,2
23:01:45,1,1001,490,601,2
23:01:46,1,1001,520,601,2
23:01:47,1,1001,489,600,2
23:01:48,1,1001,499,599,2
23:01:49,1,1001,505,599,2
23:01:50,1,1000,480,599,3
23:01:51,1,1001,495,599,2
23:01:52,1,1000,494,598,2
23:01:53,1,1001,527,597,
23:01:54,1,1001,484,597,1
23:01:55,1,1001,504,597,
23:01:56,1,1000,511,597,
23:01:57,1,1001,470,596,1
23:01:58,1,1001,485,596,1
23:01:59,1,1001,500,595,
23:02:00,1,1001,505,595,1
23:02:01,1,1000,483,594,1
23:02:02,1,1001,484,594,
23:02:03,1,1001,489,594,
23:02:04,1,1001,492,593,1
23:02:05,1,1001,485,593,1
23:02:06,1,1000,476,593,
23:02:07,1,1000,478,593,
23:02:08,1,1001,488,592,
23:02:09,1,1000,487,592,
23:02:10,1,1001,479,592,1
23:02:11,1,1003,496,592,
23:02:12,1,1000,499,592,
23:02:13,1,1001,495,592,1
23:02:14,1,1002,485,592,
23:02:15,1,1001,496,590,1
23:02:16,1,1002,519,589,
23:02:17,1,1002,500,589,1
23:02:18,1,,,,
23:02:19,1,1002,491,589,2
23:02:20,1,1001,499,588,1
23:02:21,1,1002,507,588,1
23:02:22,1,1002,492,588,1
23:02:23,1,1001,494,587,
23:02:24,1,1001,494,586,1
23:02:25,1,1001,497,586,2
23:02:26,1,1001,495,585,1
23:02:27,1,1001,489,584,
23:02:28,1,1001,486,584,
23:02:29,1,1001,501,584,2
23:02:30,1,1001,496,584,
23:02:31,1,1002,493,583,1
23:02:32,1,1001,497,583,1
23:02:33,1,1001,492,582,
23:02:34,1,1001,494,582,1
23:02:35,1,1001,490,581,1
23:02:36,1,1001,494,581,
23:02:37,1,1002,495,581,1
23:02:38,1,1001,490,581,
23:02:39,1,,,,
23:02:40,1,1001,491,580,2
23:02:41,1,1002,496,580,1
23:02:42,1,,,,
23:02:43,1,1001,497,579,
23:02:44,1,1001,492,579,
23:02:45,1,1002,500,579,1
23:02:46,1,,,,
23:02:47,1,1002,496,578,
23:02:48,1,1002,496,578,2
23:02:49,1,1002,494,578,2
23:02:50,1,1001,499,577,
23:02:51,1,1002,493,577,
23:02:52,1,1001,499,578,1
23:02:53,1,1001,502,577,2
23:02:54,1,,,,
23:02:55,1,1002,488,577,2
23:02:56,1,1002,464,576,1
23:02:57,1,1002,489,576,1
23:02:58,1,1002,490,576,
